,S.N,candidate_name,party_name,EVM Votes,Postal Votes,secured_votes,% of Votes,state_name,constituency_name,constituency_number
7422,9,NOTA,N,7429,19,7448,0.63,Uttar Pradesh,Ambedkar Nagar,55
7423,1,KISHORI LAL,I,536680,2548,539228,54.99,Uttar Pradesh,Amethi,37
7424,2,SMRITI IRANI,B,370754,1278,372032,37.94,Uttar Pradesh,Amethi,37
7425,3,NANHE SINGH CHAUHAN,B,34418,116,34534,3.52,Uttar Pradesh,Amethi,37
7426,4,SURENDRA KUMAR,I,5699,-,5699,0.58,Uttar Pradesh,Amethi,37
7427,5,DINESH CHANDRA MAURYA,J,4569,8,4577,0.47,Uttar Pradesh,Amethi,37
7428,6,JAGDAMBA PRASAD YADAV,I,4019,1,4020,0.41,Uttar Pradesh,Amethi,37
7429,7,BHAGWANDIN PASI,M,2333,1,2334,0.24,Uttar Pradesh,Amethi,37
7430,8,CHANDRAWATI,I,2278,13,2291,0.23,Uttar Pradesh,Amethi,37
7431,9,MOHD HASAN LAHRI,R,1525,2,1527,0.16,Uttar Pradesh,Amethi,37
7432,10,KHUSHIRAM,I,1401,-,1401,0.14,Uttar Pradesh,Amethi,37
7433,11,UDAYRAJ,I,1300,5,1305,0.13,Uttar Pradesh,Amethi,37
7434,12,SANTRAM,S,1208,4,1212,0.12,Uttar Pradesh,Amethi,37
7435,13,SHAILENDRA KUMAR MISHRA,S,1124,4,1128,0.12,Uttar Pradesh,Amethi,37
7436,14,NOTA,N,9371,12,9383,0.96,Uttar Pradesh,Amethi,37
7437,1,KANWAR SINGH TANWAR,B,475210,1296,476506,42.9,Uttar Pradesh,Amroha,9
7438,2,KUNWAR DANISH ALI,I,447343,493,447836,40.32,Uttar Pradesh,Amroha,9
7439,3,MUJAHID HUSAIN,B,163885,214,164099,14.77,Uttar Pradesh,Amroha,9
7440,4,DHANISH,I,3615,2,3617,0.33,Uttar Pradesh,Amroha,9
7441,5,SURESH,I,2716,1,2717,0.24,Uttar Pradesh,Amroha,9
7442,6,JEETPAL RANA,I,2550,6,2556,0.23,Uttar Pradesh,Amroha,9
7443,7,SUHEL HAIDER,A,2492,12,2504,0.23,Uttar Pradesh,Amroha,9
7444,8,NARENDRA SINGH,I,1776,3,1779,0.16,Uttar Pradesh,Amroha,9
7445,9,NAEEMUDDIN,I,1002,2,1004,0.09,Uttar Pradesh,Amroha,9
7446,10,KUSHAGRA,I,856,2,858,0.08,Uttar Pradesh,Amroha,9
7447,11,KASHIF HUSAIN,I,677,2,679,0.06,Uttar Pradesh,Amroha,9
7448,12,KUMDESH KUMAR,I,627,8,635,0.06,Uttar Pradesh,Amroha,9
7449,13,NOTA,N,5886,14,5900,0.53,Uttar Pradesh,Amroha,9
7450,1,NEERAJ MAURYA,S,491119,1396,492515,45.23,Uttar Pradesh,Aonla,24
7451,2,DHARMENDRA KASHYAP,B,475434,1112,476546,43.76,Uttar Pradesh,Aonla,24
7452,3,ABID ALI,B,95407,223,95630,8.78,Uttar Pradesh,Aonla,24
7453,4,KAUSAR KHAN,P,4210,3,4213,0.39,Uttar Pradesh,Aonla,24
7454,5,PREM PAL SAGAR,V,3328,2,3330,0.31,Uttar Pradesh,Aonla,24
7455,6,MAKKHAN LAL,I,2946,7,2953,0.27,Uttar Pradesh,Aonla,24
7456,7,RAJ KUMAR PATEL,S,2700,6,2706,0.25,Uttar Pradesh,Aonla,24
7457,8,MOHAMMAD AMIR KHAN,B,2348,7,2355,0.22,Uttar Pradesh,Aonla,24
7458,9,NIRMOD KUMAR SINGH,B,1785,5,1790,0.16,Uttar Pradesh,Aonla,24
7459,10,NOTA,N,6843,15,6858,0.63,Uttar Pradesh,Aonla,24
7460,1,DHARMENDRA YADAV,S,504837,3402,508239,48.2,Uttar Pradesh,Azamgarh,69
7461,2,DINESH LAL YADAV âNIRAHUAâ,B,345725,1479,347204,32.93,Uttar Pradesh,Azamgarh,69
7462,3,MASHHOD SABEEHA ANSARI,B,179189,650,179839,17.05,Uttar Pradesh,Azamgarh,69
7463,4,RAVINDRA NATH SHARMA,M,3038,4,3042,0.29,Uttar Pradesh,Azamgarh,69
7464,5,PARAS YADAV,J,2489,2,2491,0.24,Uttar Pradesh,Azamgarh,69
7465,6,SHASHIDHAR,I,2227,5,2232,0.21,Uttar Pradesh,Azamgarh,69
7466,7,MAHENDRA NATH YADAV,M,1904,1,1905,0.18,Uttar Pradesh,Azamgarh,69
7467,8,VIJAY KUMAR,I,1733,2,1735,0.16,Uttar Pradesh,Azamgarh,69
